,NUTR_CONT4,NUTR_CONT2,NUTR_CONT3,DESC_KOR
328,,,12.0,베스트 콰트로(슈퍼시드 함유 도우L)
329,,,13.0,베스트 콰트로(슈퍼시드 함유 도우M)
330,,,17.0,베스트 콰트로 더블치즈엣지(오리지널 L)
331,,,19.0,베스트 콰트로 더블치즈엣지(오리지널 M)
332,,,23.0,베이컨체더치즈(오리지널 L)
333,,,14.0,베이컨체더치즈(오리지널 M)
334,,,18.0,베이컨체더치즈(나폴리L)
335,,,24.0,베이컨체더치즈(나폴리M)
336,,,21.0,베이컨체더치즈(씬 L)
337,,,22.0,베이컨체더치즈(씬 M)
338,,,19.0,베이컨체더치즈(슈퍼시드 함유 도우L)
339,,,14.0,베이컨체더치즈(슈퍼시드 함유 도우M)
340,,,17.0,베이컨체더치즈 더블치즈엣지(오리지널 L)
341,,,18.0,베이컨체더치즈 더블치즈엣지(오리지널 M)
342,,,21.0,불고기(오리지널 L)
343,,,15.0,불고기(오리지널 M)
344,,,16.0,불고기(나폴리L)
345,,,2.0,불고기(나폴리M)
346,,,14.0,불고기(씬 L)
347,,,22.0,불고기(씬 M)
348,,,18.0,불고기(슈퍼시드 함유 도우L)
349,,,15.0,불고기(슈퍼시드 함유 도우M)
350,,,16.0,불고기 더블치즈엣지(오리지널 L)
351,,,18.0,불고기 더블치즈엣지(오리지널 M)
352,,,21.0,블랙앵거스 스테이크(오리지널 L)
353,,,14.0,블랙앵거스 스테이크(오리지널 M)
354,,,17.0,블랙앵거스 스테이크(나폴리L)
355,,,12.0,블랙앵거스 스테이크(나폴리M)
356,,,14.0,블랙앵거스 스테이크(씬 L)
357,,,20.0,블랙앵거스 스테이크(씬 M)
358,,,12.0,블랙앵거스 스테이크(슈퍼시드 함유 도우L)
359,,,14.0,블랙앵거스 스테이크(슈퍼시드 함유 도우M)
360,,,17.0,블랙앵거스 스테이크 더블치즈엣지(오리지널 L)
361,,,19.0,블랙앵거스 스테이크 더블치즈엣지(오리지널 M)
362,,,23.0,블랙타이거 슈림프(오리지널 L)
363,,,13.0,블랙타이거 슈림프(오리지널 M)
364,,,20.0,블랙타이거 슈림프(나폴리M)
365,,,18.0,블랙타이거 슈림프(나폴리L)
366,,,20.0,블랙타이거 슈림프(씬 M)
367,,,14.0,블랙타이거 슈림프(씬 L)
368,,,18.0,블랙타이거 슈림프(슈퍼시드 함유 도우L)
369,,,13.0,블랙타이거 슈림프 더블치즈엣지(오리지널 L)
370,,,18.0,블랙타이거슈림프(슈퍼시드 함유 도우M)
371,,,21.0,블랙타이거슈림프 더블치즈엣지(오리지널 M)
372,,,32.0,슈퍼디럭스(오리지널 L)
373,,,17.0,슈퍼디럭스(오리지널 M)
374,,,19.0,슈퍼디럭스(나폴리L)
375,,,12.0,슈퍼디럭스(나폴리M)
376,,,15.0,슈퍼디럭스(씬 L)
377,,,24.0,슈퍼디럭스(씬 M)
378,,,20.0,슈퍼디럭스(슈퍼시드 함유 도우L)
379,,,14.0,슈퍼디럭스(슈퍼시드 함유 도우M)
380,,,16.0,슈퍼디럭스 더블치즈엣지(오리지널 L)
381,,,19.0,슈퍼디럭스 더블치즈엣지(오리지널 M)
382,,,24.0,슈퍼슈프림(오리지널 L)
383,,,17.0,슈퍼슈프림(오리지널 M)
384,,,20.0,슈퍼슈프림(나폴리L)
385,,,14.0,슈퍼슈프림(나폴리M)
386,,,16.0,슈퍼슈프림(씬 L)
387,,,13.0,슈퍼슈프림(씬 M)
388,,,15.0,슈퍼슈프림(슈퍼시드 함유 도우L)
389,,,15.0,슈퍼슈프림(슈퍼시드 함유 도우M)
390,,,19.0,슈퍼슈프림 더블치즈엣지(오리지널 L)
391,,,21.0,슈퍼슈프림 더블치즈엣지(오리지널 M)
392,,,24.0,와규 앤 비스테카(오리지널 L)
393,,,14.0,와규 앤 비스테카(오리지널 M)
394,,,16.0,와규 앤 비스테카(나폴리L)
395,,,16.0,와규 앤 비스테카(나폴리M)
396,,,18.0,와규 앤 비스테카(씬 L)
397,,,23.0,와규 앤 비스테카(씬 M)
398,,,12.0,와규 앤 비스테카(슈퍼시드 함유 도우L)
399,,,13.0,와규 앤 비스테카(슈퍼시드 함유 도우M)
400,,,16.0,와규 앤 비스테카 더블치즈엣지(오리지널 L)
401,,,19.0,와규 앤 비스테카 더블치즈엣지(오리지널 M)
402,,,25.0,우리 고구마(오리지널 L)
403,,,13.0,우리 고구마(오리지널 M)
404,,,15.0,우리 고구마(나폴리L)
405,,,11.0,우리 고구마(나폴리M)
406,,,12.0,우리 고구마(씬 L)
407,,,19.0,우리 고구마(씬 M)
408,,,10.0,우리 고구마(슈퍼시드 함유 도우L)
409,,,13.0,우리 고구마(슈퍼시드 함유 도우M)
410,,,15.0,우리 고구마 더블치즈엣지(오리지널 L)
411,,,18.0,우리 고구마 더블치즈엣지(오리지널 M)
412,,,22.0,직화 스테이크(오리지널 L)
413,,,14.0,직화 스테이크(오리지널 M)
414,,,20.0,직화 스테이크(나폴리L)
415,,,12.0,직화 스테이크(나폴리M)
416,,,16.0,직화 스테이크(씬 L)
417,,,20.0,직화 스테이크(씬 M)
418,,,14.0,직화 스테이크(슈퍼시드 함유 도우L)
419,,,14.0,직화 스테이크(슈퍼시드 함유 도우M)
420,,,18.0,직화 스테이크 더블치즈엣지(오리지널 M)
421,,,24.0,직화 스테이크 더블치즈엣지(오리지널 L)
422,,,20.0,치즈(오리지널 L)
423,,,24.0,치즈(오리지널 M)
424,,,15.0,치즈(나폴리L)
425,,,19.0,치즈(나폴리M)
426,,,18.0,치즈(씬 L)
427,,,17.0,치즈(씬 M)
428,,,20.0,치즈(슈퍼시드 함유 도우L)
429,,,24.0,치즈(슈퍼시드 함유 도우M)
430,,,14.0,치즈 더블치즈엣지(오리지널 L)
431,,,29.0,치즈가든(오리지널 L)
432,,,10.0,치즈가든(오리지널 M)
433,,,14.0,치즈가든(나폴리L)
434,,,16.0,치즈가든(나폴리M)
435,,,9.0,치즈가든(씬 L)
436,,,12.0,치즈가든(씬 M)
437,,,10.0,치즈가든(슈퍼시드 함유 도우L)
438,,,11.0,치즈가든(슈퍼시드 함유 도우M)
439,,,11.0,치즈가든 더블치즈엣지(오리지널 L)
440,,,15.0,치즈가든 더블치즈엣지(오리지널 M)
441,,,19.0,치즈피자 더블치즈엣지(오리지널 M)
442,,,20.0,페퍼로니(오리지널 L)
443,,,14.0,페퍼로니(오리지널 M)
444,,,16.0,페퍼로니(나폴리L)
445,,,24.0,페퍼로니(나폴리M)
446,,,20.0,페퍼로니(씬 L)
447,,,22.0,페퍼로니(씬 M)
448,,,18.0,페퍼로니(슈퍼시드 함유 도우L)
449,,,14.0,페퍼로니(슈퍼시드 함유 도우M)
450,,,16.0,페퍼로니 더블치즈엣지(오리지널 L)
451,,,16.0,페퍼로니 더블치즈엣지(오리지널 M)
452,,,20.0,포테이토(오리지널 L)
453,,,15.0,포테이토(오리지널 M)
454,,,16.0,포테이토(나폴리L)
455,,,15.0,포테이토(나폴리M)
456,,,16.0,포테이토(씬 L)
457,,,12.0,포테이토(씬 M)
458,,,12.0,포테이토(슈퍼시드 함유 도우L)
459,,,15.0,포테이토(슈퍼시드 함유 도우M)
460,,,16.0,포테이토 더블치즈엣지(오리지널 L)
461,,,18.0,포테이토 더블치즈엣지(오리지널 M)
462,,,21.0,핫치킨(오리지널 L)
463,,,13.0,핫치킨(오리지널 M)
464,,,15.0,핫치킨(나폴리L)
465,,,22.0,핫치킨(나폴리M)
466,,,14.0,핫치킨(씬 L)
467,,,20.0,핫치킨(씬 M)
468,,,15.0,핫치킨(슈퍼시드 함유 도우L)
469,,,13.0,핫치킨(슈퍼시드 함유 도우M)
470,,,16.0,핫치킨 더블치즈엣지(오리지널 L)
471,,,18.0,핫치킨 더블치즈엣지(오리지널 M)
472,,,22.0,먹물 오징어링
473,,,17.0,슈퍼곡물 치킨(10조각)
474,,,36.0,옥수수 버터구이(6개)
