,DESC_KOR,NN,category
3950,(EX) 선라이즈 펀치,선라이즈,0
3951,오션 펀치,오션,0
3952,(EX) 오션 펀치,오션,0
3953,(EX) ICED 석류애플라임,애플,101
3954,자몽네이블오렌지,네이블,0
3955,유자피나콜라다,유자,119
3956,석류애플라임,애플,101
3957,(EX)ICED 자몽네이블 오렌지,네이블,0
3958,(EX)ICED 유자피나콜라다,유자,119
3959,꿀복숭아 플랫치노,복숭아,48
3960,콜드브루 라떼,nan,0
3961,콜드브루 화이트 비엔나,화이트,50
3962,니트로커피,니트,0
3963,ICED 브라우니 쇼콜라,브라우니,248
3964,HOT 브라우니 쇼콜라,브라우니,248
3965,제주청귤 오리지널,제주,11
3966,제주청귤 블라썸,제주,11
3967,석류 오리지널,nan,0
3968,석류 애플라임,애플,101
3969,HOT 레몬 스윗플럼,레몬,26
3970,자몽 네이블 오렌지,네이블,0
3971,HOT 유자 피나콜라다,유자,119
3972,HOT 에스프레소,에스프레소,275
3973,HOT 에스프레소 마끼아또,에스프레소,275
3974,HOT 에스프레소 콘파냐,에스프레소,275
3975,ICED 카페 아메리카노,카페 아메리카노,0
3976,HOT 카페 아메리카노,카페 아메리카노,0
3977,(EX)ICED 카페 아메리카노,카페 아메리카노,0
3978,(EX)HOT 카페 아메리카노,카페 아메리카노,0
3979,ICED 카페 라떼,카페,146
3980,(EX)ICED 카페 라떼,카페,146
3981,HOT 카페 라떼,카페,146
3982,(EX)HOT 카페 라떼,카페,146
3983,ICED 카푸치노,카푸치노,211
3984,HOT 카푸치노,카푸치노,211
3985,ICED 카페 모카,카페,146
3986,HOT 카페 모카,카페,146
3987,(EX)ICED 카페 모카,카페,146
3988,(EX)HOT 카페 모카,카페,146
3989,ICED 카라멜 마끼아또,카라멜,59
3990,HOT 카라멜 마끼아또,카라멜,59
3991,(EX)ICED 카라멜 마끼아또,카라멜,59
3992,(EX)HOT 카라멜 마끼아또,카라멜,59
3993,ICED 바닐라 라떼,바닐라,38
3994,HOT 바닐라 라떼,바닐라,38
3995,(EX)ICED 바닐라 라떼,바닐라,38
3996,(EX)HOT 바닐라 라떼,바닐라,38
3997,ICED 화이트 초콜릿 모카,화이트 초콜릿,0
3998,HOT 화이트 초콜릿 모카,화이트 초콜릿,0
3999,ICED 민트모카,민트,166
4000,HOT 민트 모카,민트,166
4001,ICED 초콜릿,초콜릿,17
4002,HOT 초콜릿,초콜릿,17
4003,(EX)ICED 초콜릿,초콜릿,17
4004,(EX)HOT 초콜릿,초콜릿,17
4005,ICED 화이트 초콜릿,화이트 초콜릿,0
