,DESC_KOR,NN
72484,캐스케이드 스파클링 레모네이드,캐스케이드
72485,캐스케이드 스파클링 복숭아 망고에이드,캐스케이드
72486,캐스케이드 스파클링 블랙베리에이드,캐스케이드
72487,캐스케이드 스파클링 석류에이드,캐스케이드
72488,캐스케이드 스파클링 수박 레모네이드,캐스케이드
72489,캐스케이드 스파클링 오렌지 망고에이드,캐스케이드
72490,캐스케이드 스파클링 체리 라임에이드,캐스케이드
72491,캐스케이드 스파클링 키위 딸기에이드,캐스케이드
72492,캐스케이드 스파클링 핑크 자몽에이드,캐스케이드
72493,캐스케이드 유기농 스파클링워터 레몬 라임,캐스케이드
72494,캐스케이드 유기농 스파클링워터 레몬 오렌지,캐스케이드
72495,캐스케이드 유기농 스파클링워터 믹스베리,캐스케이드
72496,캐스케이드 유기농 스파클링워터 자몽,캐스케이드
72497,피크닉 슈 스트링 포테이토,피크닉
72498,피크닉 스리라차 랜치 포테이토 칩,피크닉
72499,피크닉 프렌치 프라이 어니언,피크닉
72500,피크닉 화이트 체다 포테이토 칩,피크닉
72501,해피 퍼프 유기농 곡물 스낵 고구마 당근,해피
72502,해피 퍼프 유기농 곡물 스낵 딸기 비트,해피
72503,해피 퍼프 유기농 곡물 스낵 바나나 호박,해피
72504,해피 퍼프 유기농 곡물 스낵 사과 브로콜리,해피
72505,해피 퍼프 유기농 곡물 스낵 자색당근 블루베리,해피
72506,해피 퍼프 유기농 곡물 스낵 케일 시금치,해피
72507,Gamer'z cup 힐러 고기짬뽕,힐러
